stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,MT_FER,THS_EUR,IE	102244 	122587 	140463 	118321 	73614 	88467 	125589 	121081 	167966 	197529 	135717 	79903 	150656 	125345 	102670 	76733 	75350 
EXP,MT_FER,THS_EUR,IT	279751 	274164 	290103 	214051 	161312 	156470 	142292 	131328 	172527 	226250 	220341 	136421 	249334 	220541 	135966 	95112 	135789 
EXP,MT_FER,THS_EUR,LT	266288 	210139 	259580 	223672 	114830 	111562 	155791 	134553 	176190 	183885 	129449 	70181 	149518 	126641 	105090 	87830 	96183 
EXP,MT_FER,THS_EUR,LU	15691 	21265 	24310 	22520 	17997 	18851 	21959 	21387 	26480 	34254 	27319 	20953 	97243 	71320 	57460 	48768 	60051 
EXP,MT_FER,THS_EUR,LV	118887 	117246 	163940 	126800 	78459 	101333 	132818 	135041 	169295 	184293 	107818 	40501 	132086 	69576 	71619 	42815 	16142 
EXP,MT_FER,THS_EUR,MT	6880 	5524 	6794 	5772 	4960 	6868 	6084 	6016 	8895 	10188 	6650 	4365 	6369 	5769 	4659 	2670 	4225 
EXP,MT_FER,THS_EUR,NL	2225947 	2418076 	2669386 	2466196 	1922651 	1931625 	2302408 	2252306 	2934563 	3132579 	2970170 	1608589 	2396936 	2921377 	2358568 	1529506 	1475869 
EXP,MT_FER,THS_EUR,PL	653996 	690815 	625834 	509233 	415895 	462709 	643183 	627691 	705297 	707000 	501190 	260290 	529913 	427167 	355821 	322058 	417372 
EXP,MT_FER,THS_EUR,PT	111235 	131576 	161805 	130278 	71294 	66077 	83872 	92055 	104022 	111072 	119922 	74226 	108322 	124969 	101745 	75710 	49484 
EXP,MT_FER,THS_EUR,RO	338841 	294771 	273786 	204009 	147027 	169987 	378018 	542998 	609817 	769597 	724750 	496759 	643946 	519368 	408207 	298390 	401205 
EXP,MT_FER,THS_EUR,SE	362349 	397524 	394196 	368403 	289450 	287903 	411158 	374029 	505828 	512700 	399411 	297560 	450899 	359477 	228528 	200508 	170662 
EXP,MT_FER,THS_EUR,SI	107803 	122193 	141732 	118760 	76459 	96453 	126217 	120550 	144196 	145037 	103812 	50998 	62906 	69720 	52637 	43132 	38283 
EXP,MT_FER,THS_EUR,SK	181637 	211824 	191848 	173877 	114787 	122147 	157460 	113147 	170394 	234396 	215696 	79395 	228987 	156923 	131648 	100830 	110796 
